Date,Close
7/13/2017,111.23
7/14/2017,110.38
7/17/2017,110
7/18/2017,110.78
7/19/2017,110.12
7/20/2017,109.84
7/21/2017,108.19
7/24/2017,107.95
7/25/2017,107.78
7/26/2017,109.72
7/27/2017,110.54
7/28/2017,111.65
7/31/2017,110.45
8/1/2017,110.75
8/2/2017,107.17
8/3/2017,107.12
8/4/2017,109.71
8/7/2017,108.76
8/8/2017,107.68
8/9/2017,107.33
8/10/2017,104.42
8/11/2017,106.05
8/14/2017,107.9
8/15/2017,107.31
8/16/2017,109.5
8/17/2017,106.86
8/18/2017,107.23
8/21/2017,108.81
8/22/2017,110.41
8/23/2017,109.84
8/24/2017,110.67
8/25/2017,110.59
8/28/2017,111.91
8/29/2017,111.75
8/30/2017,114.27
8/31/2017,116.19
9/1/2017,115.49
9/5/2017,116.15
9/6/2017,114.68
9/7/2017,117.78
9/8/2017,116.4
9/11/2017,117.67
9/12/2017,116.26
9/13/2017,116.05
9/14/2017,115.96
9/15/2017,116.11
9/18/2017,116.51
9/19/2017,116.68
9/20/2017,115.4
9/21/2017,115.02
9/22/2017,115.81
9/25/2017,111.84
9/26/2017,111.79
9/27/2017,115.5
9/28/2017,116.65
9/29/2017,117.53
10/2/2017,116.8
10/3/2017,117.83
10/4/2017,118.06
10/5/2017,119.38
10/6/2017,121.75
10/9/2017,121.33
10/10/2017,120.96
10/11/2017,120.68
10/12/2017,121.97
10/13/2017,122.29
10/16/2017,121.4
10/17/2017,122.75
10/18/2017,120.77
10/19/2017,120.81
10/20/2017,124.82
10/23/2017,123.99
10/24/2017,125.89
10/25/2017,124.62
10/26/2017,126.14
10/27/2017,125.73
10/30/2017,125.05
10/31/2017,126.37
11/1/2017,124.51
11/2/2017,124.34
11/3/2017,124.91
11/6/2017,124.73
11/7/2017,125.53
11/8/2017,127.62
11/9/2017,125.55
11/10/2017,125.98
11/13/2017,125.03
11/14/2017,124.48
11/15/2017,123.32
11/16/2017,125.72
11/17/2017,127.54
11/20/2017,127.67
11/21/2017,128.07
11/22/2017,127.45
11/24/2017,128.3
11/27/2017,126.99
11/28/2017,126.63
11/29/2017,120.59
11/30/2017,123
12/1/2017,122.66
12/4/2017,113.62
12/5/2017,116.2
12/6/2017,117.76
12/7/2017,121
12/8/2017,121.81
12/11/2017,123.09
12/12/2017,121.01
12/13/2017,123.37
12/14/2017,126.17
12/15/2017,129.5
12/18/2017,130.69
12/19/2017,129.96
12/20/2017,129
12/21/2017,128.97
12/22/2017,129.19
12/26/2017,129.32
12/27/2017,130.26
12/28/2017,130.69
12/29/2017,130.39
1/2/2018,131.73
1/3/2018,132.91
1/4/2018,133.85
1/5/2018,135.01
1/8/2018,135.3
1/9/2018,135.45
1/10/2018,136.23
1/11/2018,137.58
1/12/2018,138.19
1/16/2018,139.79
1/17/2018,140.79
1/18/2018,141.13
1/19/2018,142.27
1/22/2018,143.9
1/23/2018,144.43
1/24/2018,145.44
1/25/2018,145.54
1/26/2018,149.74
1/29/2018,147.09
1/30/2018,146.59
1/31/2018,148.87
2/1/2018,152.81
2/2/2018,149.76
2/5/2018,147.39
2/6/2018,149.02
2/7/2018,153.17
2/8/2018,140.1
2/9/2018,145.16
2/12/2018,147.24
2/13/2018,147.55
2/14/2018,147.74
2/15/2018,152.54
2/16/2018,154.03
2/20/2018,156.76
2/21/2018,157.58
2/22/2018,156.05
2/23/2018,160.4
2/26/2018,160.57
2/27/2018,163.34
2/28/2018,161.01
3/1/2018,159.57
3/2/2018,166.67
3/5/2018,168.3
3/6/2018,171.07
3/7/2018,173.06
3/8/2018,172.99
3/9/2018,172.76
3/12/2018,174.43
3/13/2018,173.96
3/14/2018,175.34
3/15/2018,173.83
3/16/2018,169.98
3/19/2018,169.81
3/20/2018,172.11
3/21/2018,173.19
3/22/2018,168.76
3/23/2018,164.77
3/26/2018,171.45
3/27/2018,162.82
3/28/2018,159.68
3/29/2018,165.45
4/2/2018,161.62
4/3/2018,161.77
4/4/2018,164.69
4/5/2018,165.77
4/6/2018,162.94
4/9/2018,162.89
4/10/2018,166.58
4/11/2018,166.5
4/12/2018,168.57
4/13/2018,166.9
4/16/2018,169.45
4/17/2018,174.54
4/18/2018,174.3
4/19/2018,172.99
4/20/2018,168.9
4/23/2018,167.51
4/24/2018,160.66
4/25/2018,158
4/26/2018,165.16
4/27/2018,163.18
4/30/2018,166.14
5/1/2018,165.42
5/2/2018,165.5
5/3/2018,168.73
5/4/2018,171.22
5/7/2018,176.02
5/8/2018,176.03
5/9/2018,180.04
5/10/2018,178.98
5/11/2018,178.87
5/14/2018,173.73
5/15/2018,173.42
5/16/2018,171.15
5/17/2018,171.71
5/18/2018,173.94
5/21/2018,171.45
5/22/2018,170.26
5/23/2018,173.96
5/24/2018,175.52
5/25/2018,176.72
5/29/2018,176.3
5/30/2018,178.47
5/31/2018,177.61
6/1/2018,181.51
6/4/2018,183.5
6/5/2018,186.09
6/6/2018,186.42
6/7/2018,177.45
6/8/2018,178.19
6/11/2018,180.08
6/12/2018,181.84
6/13/2018,181.23
6/14/2018,185.34
6/15/2018,186.35
6/18/2018,186.41
6/19/2018,183.61
6/20/2018,184.76
6/21/2018,180.27
6/22/2018,176.7
6/25/2018,171.39
6/26/2018,170.85
6/27/2018,167.97
6/28/2018,172.41
6/29/2018,172.47
7/2/2018,177.6
7/3/2018,177.19
7/5/2018,179.43
7/6/2018,182.16
7/9/2018,184.85
7/10/2018,185.6
7/11/2018,187.18
7/12/2018,194.66
7/13/2018,191.06
7/16/2018,189.08
7/17/2018,191.2
7/18/2018,192.01
7/19/2018,190.04
7/20/2018,191.08
7/23/2018,190.5
7/24/2018,184.91
7/25/2018,183.86
7/26/2018,192.32
7/27/2018,183.95
7/30/2018,178.81
7/31/2018,175.96
8/1/2018,177.94
8/2/2018,182.84
8/3/2018,180.88
8/6/2018,184.66
8/7/2018,185.74
8/8/2018,186.13
8/9/2018,188.34
8/10/2018,187.47
8/13/2018,185.02
8/14/2018,184.49
8/15/2018,182.73
8/16/2018,182.03
8/17/2018,180.83
8/20/2018,181.36
8/21/2018,182.1
8/22/2018,182.41
8/23/2018,184.85
8/24/2018,193.56
8/27/2018,193.25
8/28/2018,194.26
8/29/2018,200.23
8/30/2018,198.45
8/31/2018,196.36
9/4/2018,200.26
9/5/2018,190.76
9/6/2018,193.18
9/7/2018,196.98
9/10/2018,199.01
9/11/2018,199.5
9/12/2018,202.77
9/13/2018,204.58
9/14/2018,202.97
9/17/2018,192.82
9/18/2018,191.88
9/19/2018,186
9/20/2018,187.35
9/21/2018,189.69
9/24/2018,193.12
9/25/2018,197.61
9/26/2018,195.71
9/27/2018,195.08
9/28/2018,195.63
10/1/2018,194.61
10/2/2018,192.9
10/3/2018,196.2
10/4/2018,187.44
10/5/2018,186.6
10/8/2018,180.26
10/9/2018,181.41
10/10/2018,172.14
10/11/2018,174.97
10/12/2018,184.45
10/15/2018,180.91
10/16/2018,192.72
10/17/2018,190.26
10/18/2018,185.18
10/19/2018,177.15
10/22/2018,178.84
10/23/2018,181.78
10/24/2018,170.21
10/25/2018,172.63
10/26/2018,166.76
10/29/2018,164.23
10/30/2018,168.5
10/31/2018,181.04
11/1/2018,183.73
11/2/2018,178.78
11/5/2018,180.41
11/6/2018,177.37
11/7/2018,190.83
11/8/2018,186.16
11/9/2018,177.59
11/12/2018,172.37
11/13/2018,168.67
11/14/2018,167.38
11/15/2018,172.97
11/16/2018,171.09
11/19/2018,156.8
11/20/2018,157.24
11/21/2018,159.14
11/23/2018,160.63
11/26/2018,167.26
11/27/2018,165.74
11/28/2018,177.87
11/29/2018,179.1
11/30/2018,185.27
12/3/2018,188.09
12/4/2018,180.85
12/6/2018,187.6
12/7/2018,182.38
12/10/2018,184.9
12/11/2018,183.42
12/12/2018,187.64
12/13/2018,188.15
12/14/2018,181.98
12/17/2018,171.47
12/18/2018,173.57
12/19/2018,174.04
12/20/2018,169.92
12/21/2018,162
12/24/2018,158.92
12/26/2018,169.51
12/27/2018,178.2
12/28/2018,180.33
12/31/2018,178.05
1/2/2019,178.32
1/3/2019,169.12
1/4/2019,179.23
1/7/2019,186.67
1/8/2019,188.11
1/9/2019,190.47
1/10/2019,190
1/11/2019,191.69
1/14/2019,188.4
1/15/2019,188.35
1/16/2019,189.59
1/17/2019,186.53
1/18/2019,190.09
1/22/2019,185.7
1/23/2019,183.96
1/24/2019,185.7
1/25/2019,191.08
1/28/2019,187.94
1/29/2019,184.82
1/30/2019,194
1/31/2019,220.02
2/1/2019,221.51
2/4/2019,225.14
2/5/2019,228.35
2/6/2019,225.56
2/7/2019,226.96
2/8/2019,228.56
2/11/2019,229.01
2/12/2019,234.65
2/13/2019,231.97
2/14/2019,234.03
